,time,price,amount
385,1534133207,6365.34,2.37331754
386,1534133207,6365.34,1.0
387,1534133207,6365.34,2.0
388,1534133207,6365.16,0.518758
389,1534133208,6365.34,1.0
390,1534133208,6365.34,0.0022324
391,1534133208,6365.34,3.12668246
392,1534133209,6365.34,0.79999999
393,1534133210,6365.34,0.79999999
394,1534133210,6365.34,1.0
395,1534133211,6365.34,0.39776762
396,1534133212,6365.34,1.13210612
397,1534133212,6367.71,0.00125029
398,1534133213,6368.99,1.3
399,1534133214,6373.55,1.31
400,1534133214,6373.69,0.12375
401,1534133214,6373.76,1.5
402,1534133214,6373.96,1.983
403,1534133214,6374.0,0.025
404,1534133215,6376.38,7.57
405,1534133216,6373.8,2.5
406,1534133216,6373.74,0.5
407,1534133217,6378.04,1.0
408,1534133217,6376.74,0.1
409,1534133217,6376.74,0.00539
410,1534133219,6378.48,0.0012503
411,1534133219,6380.6,1.0
412,1534133219,6380.6,0.0087497
413,1534133220,6377.76,1.0
414,1534133220,6377.77,0.5
415,1534133220,6377.76,1.0
416,1534133220,6377.77,1.0
417,1534133221,6377.77,0.3
418,1534133221,6377.76,0.7
419,1534133221,6378.48,0.01
420,1534133221,6376.75,0.99
421,1534133221,6376.75,1.0
422,1534133221,6376.75,1.0
423,1534133222,6376.75,0.79999999
424,1534133222,6380.6,0.31125029
425,1534133222,6381.25,1.68879776
426,1534133222,6377.81,1.3
427,1534133222,6377.77,0.2
428,1534133223,6377.86,1.3
429,1534133224,6377.77,0.3
430,1534133224,6377.77,0.42614642
431,1534133224,6376.75,1.0
432,1534133224,6376.48,0.19625358
433,1534133224,6377.86,0.30374642
434,1534133224,6375.0,1.0
435,1534133225,6373.66,1.3
436,1534133225,6375.62,0.96811821
437,1534133226,6370.56,0.001
438,1534133228,6372.08,1.3
439,1534133228,6372.08,0.2
440,1534133228,6372.08,0.3
441,1534133229,6368.49,1.0
442,1534133229,6368.5,0.3
443,1534133230,6368.5,0.5
444,1534133230,6368.5,0.2
445,1534133230,6370.56,1.1
446,1534133235,6368.78,1.3
447,1534133235,6368.74,0.5
448,1534133235,6368.73,0.15
449,1534133236,6368.79,1.3
450,1534133236,6368.79,0.2
451,1534133237,6368.79,0.27024039
452,1534133253,6368.79,0.02975961
453,1534133253,6368.79,0.04499081
454,1534133253,6368.79,0.01571419
455,1534133253,6368.79,1.239295
456,1534133253,6368.79,0.01571419
457,1534133254,6368.79,0.48428581
458,1534133254,6368.79,1.3
459,1534133255,6368.84,1.3
460,1534133257,6368.8,0.5
461,1534133257,6368.8,1.3
462,1534133259,6365.92,0.03919043
463,1534133261,6364.04,1.3
464,1534133261,6364.0,0.5
465,1534133261,6366.52,1.31
466,1534133261,6366.53,0.19
467,1534133263,6364.09,1.3
468,1534133263,6364.05,0.5
469,1534133264,6358.71,1.3
470,1534133264,6358.71,0.31250256
471,1534133265,6364.1,0.18749744
472,1534133265,6364.1,1.3
473,1534133265,6363.88,0.01250256
474,1534133266,6364.1,0.48749744
475,1534133266,6364.1,0.51250256
476,1534133278,6364.1,0.04670742
477,1534133288,6364.1,0.45329258
478,1534133288,6364.1,1.3
479,1534133292,6361.35,1.5
480,1534133292,6361.49,1.31
481,1534133293,6357.59,1.3
482,1534133293,6357.55,0.5
483,1534133294,6354.68,1.3
484,1534133295,6357.6,0.5
485,1534133296,6354.67,0.81
486,1534133302,6360.99,1.0
487,1534133303,6360.99,0.31
488,1534133316,6358.98,0.01051726
489,1534133324,6358.98,1.0
490,1534133324,6358.98,0.28948274
491,1534133324,6358.94,0.5
492,1534133325,6356.25,0.0320108
493,1534133325,6356.25,0.5
494,1534133325,6356.25,0.4679892
495,1534133325,6359.03,0.8320108
496,1534133327,6360.05,1.0
497,1534133327,6360.05,0.3
498,1534133327,6360.01,0.5
499,1534133328,6360.0,0.5
500,1534133328,6360.01,1.3
501,1534133329,6360.0,9.5
502,1534133330,6360.69,0.012886
503,1534133333,6360.68,0.019
504,1534133373,6360.01,0.00182014
505,1534133381,6360.01,0.05750023
506,1534133381,6360.01,0.0775024
507,1534133381,6360.01,0.00091978
508,1534133382,6360.01,0.36225745
509,1534133382,6360.01,0.94774255
510,1534133384,6360.01,0.01419516
511,1534133385,6360.01,0.33806229
512,1534133386,6360.01,0.5
513,1534133386,6360.01,1.3
514,1534133386,6360.01,0.01
515,1534133387,6360.01,0.00534789
516,1534133387,6360.01,0.48465211
517,1534133387,6360.01,0.51534789
518,1534133388,6360.01,0.78465211
519,1534133388,6360.01,0.5
520,1534133388,6360.01,0.2847
521,1534133389,6360.01,0.01319242
522,1534133389,6360.01,1.0
523,1534133389,6353.91,0.13
524,1534133390,6360.01,0.37
525,1534133391,6359.87,0.5
526,1534133393,6352.6,1.3
527,1534133393,6352.56,0.5
528,1534133393,6349.42,0.448
529,1534133394,6352.65,1.3
530,1534133394,6346.84,0.01
531,1534133395,6346.85,0.0457255
532,1534133395,6346.85,1.7139
533,1534133397,6348.53,1.3
534,1534133398,6346.03,0.5
535,1534133417,6352.88,0.02634045
536,1534133418,6352.88,0.5
537,1534133422,6352.87,0.01459674
538,1534133430,6350.82,0.0393288
539,1534133430,6350.22,0.00682288
540,1534133439,6352.85,1.0
541,1534133439,6352.85,0.31
542,1534133443,6352.84,0.01365955
543,1534133451,6352.19,0.00907455
544,1534133455,6352.19,0.68
545,1534133456,6352.19,0.01095457
546,1534133464,6352.19,0.00590591
547,1534133465,6351.01,0.00124217
548,1534133470,6351.0,0.00129286
549,1534133481,6351.0,0.0108704
550,1534133484,6351.0,0.00908009
551,1534133487,6351.0,0.039525
552,1534133488,6351.0,0.0087975
553,1534133492,6350.98,0.00629829
554,1534133502,6350.98,0.01805928
555,1534133502,6350.98,0.01992266
556,1534133504,6350.98,0.02468235
557,1534133517,6350.98,0.00140188
558,1534133527,6350.98,0.01774577
559,1534133529,6350.98,0.792338
560,1534133529,6350.98,0.010752
561,1534133544,6350.92,0.00109365
562,1534133603,6346.29,0.12375
563,1534133604,6345.0,0.45
564,1534133643,6346.34,0.03701398
565,1534133667,6345.93,0.022
566,1534133686,6345.93,1.0
567,1534133687,6345.93,0.288
568,1534133693,6345.92,1.0
569,1534133694,6345.92,0.31
570,1534133701,6345.91,0.0121858
571,1534133701,6345.91,0.01987601
572,1534133701,6345.91,0.07419626
573,1534133702,6345.91,0.402
574,1534133703,6344.4,0.19402935
575,1534133705,6345.91,0.02326513
576,1534133708,6345.91,0.00082987
577,1534133708,6345.91,0.01021634
578,1534133709,6345.91,0.0361108
579,1534133726,6345.91,0.73131979
580,1534133726,6345.91,0.26868021
581,1534133726,6345.91,1.0
582,1534133727,6345.91,1.0
583,1534133728,6345.91,1.0
